Station_ID,Forecasted_SoE_Proxy_Pct,Forecast_Horizon_Months
ST-01-1,145.28,6
ST-01-2,148.38,6
ST-01-3,145.83,6
ST-02-1,144.23,6
ST-02-2,144.51,6
ST-02-3,146.16,6
ST-03-1,68.67,6
ST-03-2,70.11,6
ST-03-3,69.0,6
ST-04-1,68.36,6
ST-04-2,68.3,6
ST-04-3,69.62,6
ST-05-1,35.87,6
ST-05-2,37.91,6
ST-05-3,36.99,6
ST-06-1,28.2,6
ST-06-2,29.79,6
ST-06-3,28.23,6
ST-07-1,5.28,6
ST-07-2,5.88,6
ST-07-3,5.67,6
ST-08-1,77.43,6
ST-08-2,76.85,6
ST-08-3,75.84,6
ST-09-1,0.78,6
ST-09-2,1.82,6
ST-09-3,0.78,6
ST-10-1,142.04,6
ST-10-2,143.21,6
ST-10-3,135.25,6
